time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,2.48069621206e-13,9.00059994927,0.0261682709432,6.28315495443,6.28318530708,0.0,2.48069621206e-11,0.00999506894147,0.872043073808,-0.0015375198667,-2.54860026192e-09,0.0
0.06,2.48069621206e-13,9.00059994927,0.0261682709432,6.28315495443,6.28318530708,0.0,2.48069621206e-11,0.00999506894147,0.872043073808,-0.0015375198667,-2.54860026192e-09,0.0
0.12000000000000001,7.89018989397e-12,9.0011975289,0.104567211602,6.28303225309,6.28318530664,0.0,2.93343134847e-10,0.00990115710564,1.74036520187,-0.00308002429736,-1.67204371174e-08,0.0
0.12000000000000001,7.89018989397e-12,9.0011975289,0.104567211602,6.28303225309,6.28318530664,0.0,2.93343134847e-10,0.00990115710564,1.74036520187,-0.00308002429736,-1.67204371174e-08,0.0
0.18,5.69785402648e-11,9.00178336388,0.234839601606,6.28278837769,6.28318530564,0.0,1.55691095923e-09,0.00958118089891,2.6005172956,-0.00611055174753,-1.67204371136e-08,0.0
0.18,5.69785402648e-11,9.00178336388,0.234839601606,6.28278837769,6.28318530564,0.0,1.55691095923e-09,0.00958118089891,2.6005172956,-0.00611055174753,-1.67204371136e-08,0.0
0.23999999999999996,2.24908294046e-10,9.00233814428,0.416364975076,6.2823983966,6.28318530463,0.0,4.25018617973e-09,0.00883214800514,3.4481865113,-0.00728963480566,-1.67204371099e-08,0.0
0.23999999999999996,2.24908294046e-10,9.00233814428,0.416364975076,6.2823983966,6.28318530463,0.0,4.25018617973e-09,0.00883214800514,3.4481865113,-0.00728963480566,-1.67204371099e-08,0.0
0.3,5.96415016516e-10,9.00283101418,0.648272497335,6.28194233087,6.28318530363,0.0,8.3365662294e-09,0.00750543972175,4.27935162655,-0.00823148231893,-1.67204371062e-08,0.0
0.3,5.96415016516e-10,9.00283101418,0.648272497335,6.28194233087,6.28318530363,0.0,8.3365662294e-09,0.00750543972175,4.27935162655,-0.00823148231893,-1.67204371062e-08,0.0
0.36000000000000004,1.25371212141e-09,9.00322512713,0.929460943046,6.28140442703,6.28318530263,0.0,1.37687978559e-08,0.00552934412236,5.09036385652,-0.0104743011561,-1.67204371024e-08,0.0
0.36000000000000004,1.25371212141e-09,9.00322512713,0.929460943046,6.28140442703,6.28318530263,0.0,1.37687978559e-08,0.00552934412236,5.09036385652,-0.0104743011561,-1.67204371024e-08,0.0
0.4200000000000001,2.27589751842e-09,9.00347830549,1.25862146741,6.28073561728,6.28318530163,0.0,2.04905312307e-08,0.0027851297412,5.87795903924,-0.0125271185981,-1.67204370987e-08,0.0
0.4200000000000001,2.27589751842e-09,9.00347830549,1.25862146741,6.28073561728,6.28318530163,0.0,2.04905312307e-08,0.0027851297412,5.87795903924,-0.0125271185981,-1.67204370987e-08,0.0
0.48000000000000015,3.73845162473e-09,9.00354020855,1.63426040621,6.27993622161,6.28318530062,0.0,2.84377983332e-08,-0.000865622878703,6.63924652665,-0.0149651874783,-1.67204370949e-08,0.0
0.48000000000000015,3.73845162473e-09,9.00354020855,1.63426040621,6.27993622161,6.28318530062,0.0,2.84377983332e-08,-0.000865622878703,6.63924652665,-0.0149651874783,-1.67204370949e-08,0.0
0.5400000000000001,5.71278143967e-09,9.00335242256,2.05472236374,6.27899488502,6.28318529965,0.0,3.75358854927e-08,-0.0055581282662,7.371729701,-0.0171772997139,-1.50839514085e-08,0.0
0.5400000000000001,5.71278143967e-09,9.00335242256,2.05472236374,6.27899488502,6.28318529965,0.0,3.75358854927e-08,-0.0055581282662,7.371729701,-0.0171772997139,-1.50839514085e-08,0.0
0.6000000000000002,8.26387860483e-09,9.00284868733,2.51821981002,6.27792743009,6.28318529875,0.0,4.76365129709e-08,-0.0114123273355,8.07350125523,-0.019047322018,-1.4811704652e-08,0.0
0.6000000000000002,8.26387860483e-09,9.00284868733,2.51821981002,6.27792743009,6.28318529875,0.0,4.76365129709e-08,-0.0114123273355,8.07350125523,-0.019047322018,-1.4811704652e-08,0.0
0.6600000000000003,1.14461521976e-08,9.0019567208,3.02285945607,6.27677373909,6.28318529889,0.0,5.84677617729e-08,-0.0185064767863,8.74294358641,-0.0195923870423,3.63980967638e-08,0.0
0.6600000000000003,1.14461521976e-08,9.0019567208,3.02285945607,6.27677373909,6.28318529889,0.0,5.84677617729e-08,-0.0185064767863,8.74294358641,-0.0195923870423,3.63980967638e-08,0.0
0.7200000000000003,1.52443297717e-08,9.00060176178,3.56666904279,6.27559233398,6.28318530181,0.0,6.76374054485e-08,-0.026838706152,9.37903853305,-0.0198862036921,7.34832499445e-08,0.0
0.7200000000000003,1.52443297717e-08,9.00060176178,3.56666904279,6.27559233398,6.28318530181,0.0,6.76374054485e-08,-0.026838706152,9.37903853305,-0.0198862036921,7.34832499445e-08,0.0
0.7800000000000004,1.94662071852e-08,8.99871109397,4.14762757658,6.27439899317,6.2831853061,0.0,7.23047924478e-08,-0.0363536793239,9.98117581662,-0.0198946339565,6.7476028174e-08,0.0
0.7800000000000004,1.94662071852e-08,8.99871109397,4.14762757658,6.27439899317,6.2831853061,0.0,7.23047924478e-08,-0.0363536793239,9.98117581662,-0.0198946339565,6.7476028174e-08,0.0
0.8400000000000004,2.38175045531e-08,8.99621587853,4.76368823248,6.27316465032,1.90283255819e-09,0.0,7.21367197223e-08,-0.0469815980913,10.5490998466,-0.0219635495747,1.4081039992e-08,0.0
