time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.55093782097e-08,2.90875821654e-07,10.0055876707,0.000250624649547,9.65459610915e-05,0.0,-8.9311684891e-06,2.53316528987e-05,0.186242951763,0.0114409112656,0.00464755197558,0.0,463.2380822979086,463.6032997188703,463.0441447875922,463.9430767353297
0.12000000000000001,-4.59923265894e-06,9.6980387409e-06,10.0198597592,0.000993322747498,0.00104281231263,0.0,-0.000210290280385,0.000361533731776,0.289472066254,0.0141900658903,0.0318508292963,0.0,436.227411271012,438.49267077231013,438.46939276318267,438.69756738875213
0.18,-4.76782643624e-05,5.71571074343e-05,10.0412728213,0.00243009720331,0.00310605249166,0.0,-0.00143902605966,0.00134827636248,0.424255072342,0.0385228377465,0.0390298474128,0.0,447.81386772891733,448.39783654254785,446.72084771168693,448.70035723817426
0.23999999999999996,-0.00022559688291,0.000211945302796,10.0749548498,0.00462524763659,0.00539590023918,0.0,-0.00478715272008,0.00409929987152,0.698350082628,0.0324004015542,0.036374355998,0.0,489.55033670112493,489.35329474343115,489.2986988053776,488.84323874990014
0.3,-0.000634971530527,0.000562961222017,10.1202497645,0.00668830226709,0.00762810115745,0.0,-0.00908772028645,0.00780937621599,0.811403953597,0.0380821035965,0.038811449409,0.0,441.5709214006494,441.7725494794771,441.1889957696314,441.65829055333535
0.36000000000000004,-0.00135275423724,0.00118365724953,10.1726702006,0.00896035011664,0.0100554786445,0.0,-0.0150889921235,0.0131204649906,0.935845903421,0.0374347994941,0.0435574253933,0.0,444.03677657940665,444.4267405399602,446.36843489633446,446.3162950485992
0.4200000000000001,-0.00246625305759,0.00215617913406,10.2309185126,0.0112769399221,0.0123721000699,0.0,-0.0222699174778,0.0195189583904,1.00570034036,0.0408614612243,0.0262118305486,0.0,428.15310136740214,426.6757587989324,428.7435827964062,429.03537331994113
0.48000000000000015,-0.00414152184084,0.00364140631533,10.3003823125,0.0133956005002,0.0136390901614,0.0,-0.0337598550176,0.0302914761118,1.30945595378,0.0208885063308,0.00823320555926,0.0,499.86035629328313,498.54857463321747,498.38629448121065,496.9248947366821
0.5400000000000001,-0.00653912786274,0.00582759454895,10.3883544906,0.0144773281269,0.0136295586876,0.0,-0.0462017721775,0.0427329573721,1.62255657844,0.0115890602704,-0.0277098767853,0.0,502.43477674367506,499.8223945191988,502.5454742910032,501.8709248796222
0.6000000000000002,-0.00967720663111,0.00879440938767,10.4955236667,0.0159944232093,0.0117552449573,0.0,-0.0581562075555,0.0563152877045,1.94925186366,0.0439484502596,-0.0394414354836,0.0,505.41681915353246,504.5704239494368,506.2961542292999,508.61883171132416
0.6600000000000003,-0.0133848497228,0.0124916317312,10.614101622,0.0190847602881,0.00934463698129,0.0,-0.0652036653532,0.0671995059461,2.00325082533,0.0634469957511,-0.0416892303354,0.0,425.95835753161396,425.7651900263468,425.0378072077773,426.70728011086305
0.7200000000000003,-0.0174942127366,0.0169629615343,10.7388287877,0.0230920835031,0.0067069246525,0.0,-0.0714919572069,0.0822680415643,2.1540425596,0.0727481471529,-0.0489443494481,0.0,456.4144917782566,455.8340686136406,456.7347851636581,457.4791214740848
0.7800000000000004,-0.0219122721803,0.0223916469,10.8710219006,0.0270654682959,0.00469136557169,0.0,-0.0755345015562,0.0991127852762,2.25219632084,0.0481307359263,-0.0134146029085,0.0,438.9155965285025,441.85358250139046,442.3941437046248,440.3657133910626
0.8400000000000004,-0.0265545981544,0.0290060125498,11.0126639842,0.0303028426546,0.00410360489202,0.0,-0.0791257411581,0.121721177968,2.46875331812,0.063607313657,-0.00339532570634,0.0,476.70031127868447,477.4654035485968,476.784416677512,477.9669934177843
0.9000000000000005,-0.0313983690064,0.0370403727395,11.1667043564,0.0337554776232,0.00403127876112,0.0,-0.08231589173,0.14650449152,2.665472916,0.0412623133131,0.00284969284689,0.0,472.681026886974,473.16206041151753,472.6224256391945,470.89910381399477
0.9600000000000005,-0.0364251053379,0.0465616624122,11.3303359299,0.0362701735631,0.00476316427083,0.0,-0.0852932455414,0.171124437958,2.78860890304,0.0431791928288,0.0263087909257,0.0,449.8352754235498,451.73084605734704,451.262588332052,451.4182096113653
1.0200000000000005,-0.0416566350977,0.0576556092322,11.5024806591,0.0388175320867,0.00631269456304,0.0,-0.0892626200187,0.198943509614,2.94913385949,0.0409692589608,0.0248411139675,0.0,463.05478774555536,462.9394157680446,463.3113636324967,463.13848447810886
1.0800000000000005,-0.047126171133,0.0702689043102,11.6790012099,0.0409459092061,0.0077331376762,0.0,-0.09317950164,0.221698271157,2.93490934026,0.0212392845009,0.021231656152,0.0,407.49002621605183,407.1673471891104,409.61814166014904,407.8604103807614
1.1400000000000006,-0.0528898736768,0.0844634889208,11.8591054654,0.0425073522777,0.00873065981349,0.0,-0.0990649185489,0.251592186693,3.06820630099,0.0341939146744,0.00529748371913,0.0,455.5844191251361,454.30851276458316,455.84376371046085,456.87791948809416
1.2000000000000006,-0.0590151691675,0.100442526924,12.0461445604,0.0444120412739,0.00883917932094,0.0,-0.105132186077,0.281231468318,3.16615065464,0.0263326071047,-0.00628811100237,0.0,446.43632723972263,445.48996368718934,445.2853388021546,444.64212415466113
1.2600000000000007,-0.065518027209,0.118304173951,12.2405567171,0.0458874593686,0.00789693004911,0.0,-0.111573097763,0.314303497641,3.31382619871,0.0208562156972,-0.051776993242,0.0,463.1951719764407,459.6036924396945,461.54234052869083,461.10997590927053
